213.9682 	EXP 	break_text: text = 'Take a short break.\n\nThe experiment will continue in 0 seconds.\n\n(Or press SPACE to continue now)'
214.0735 	EXP 	break_text: text = 'Take a short break.\n\nThe experiment will continue in 0 seconds.\n\n(Or press SPACE to continue now)'
214.1778 	EXP 	break_text: text = 'Take a short break.\n\nThe experiment will continue in 0 seconds.\n\n(Or press SPACE to continue now)'
214.2822 	EXP 	break_text: text = 'Take a short break.\n\nThe experiment will continue in 0 seconds.\n\n(Or press SPACE to continue now)'
214.3862 	EXP 	break_text: text = 'Take a short break.\n\nThe experiment will continue in 0 seconds.\n\n(Or press SPACE to continue now)'
214.4902 	EXP 	break_text: text = 'Take a short break.\n\nThe experiment will continue in 0 seconds.\n\n(Or press SPACE to continue now)'
214.5942 	EXP 	break_text: text = 'Take a short break.\n\nThe experiment will continue in 0 seconds.\n\n(Or press SPACE to continue now)'
214.6977 	EXP 	break_text: text = 'Take a short break.\n\nThe experiment will continue in 0 seconds.\n\n(Or press SPACE to continue now)'
214.8008 	EXP 	break_text: text = 'Take a short break.\n\nThe experiment will continue in 0 seconds.\n\n(Or press SPACE to continue now)'
214.9051 	EXP 	break_text: text = 'Take a short break.\n\nThe experiment will continue in 0 seconds.\n\n(Or press SPACE to continue now)'
215.0129 	EXP 	block_progress: height = 0.04
215.0129 	EXP 	block_progress: height = 0.04
215.0129 	EXP 	block_progress: height = 0.04
215.0129 	EXP 	block_progress: text = 'Block 3/3'
217.0220 	EXP 	Sound  stopped
217.0221 	EXP 	Sound  started
217.8305 	EXP 	Sound  stopped
217.8306 	EXP 	Sound  started
218.6388 	EXP 	Sound  stopped
218.6388 	EXP 	Sound  started
219.4468 	EXP 	Sound  stopped
219.4468 	EXP 	Sound  started
220.2535 	EXP 	Sound  stopped
220.2535 	EXP 	Sound  started
221.0615 	EXP 	Sound  stopped
221.0616 	EXP 	Sound  started
221.8691 	EXP 	Sound  stopped
221.8691 	EXP 	Sound  started
222.6761 	EXP 	Sound  stopped
222.6761 	EXP 	Sound  started
223.4840 	EXP 	Sound  stopped
223.4840 	EXP 	Sound  started
224.2906 	EXP 	Sound  stopped
224.2907 	EXP 	Sound  started
225.0987 	EXP 	Sound  stopped
225.0987 	EXP 	Sound  started
225.9058 	EXP 	Sound  stopped
225.9058 	EXP 	Sound  started
226.7135 	EXP 	Sound  stopped
226.7135 	EXP 	Sound  started
227.5208 	EXP 	Sound  stopped
227.5208 	EXP 	Sound  started
228.3278 	EXP 	Sound  stopped
228.3278 	EXP 	Sound  started
229.1348 	EXP 	Sound  stopped
229.1348 	EXP 	Sound  started
229.9427 	EXP 	Sound  stopped
229.9427 	EXP 	Sound  started
230.7494 	EXP 	Sound  stopped
230.7494 	EXP 	Sound  started
231.5576 	EXP 	Sound  stopped
231.5576 	EXP 	Sound  started
232.3651 	EXP 	Sound  stopped
232.3651 	EXP 	Sound  started
233.1734 	EXP 	Sound  stopped
233.1735 	EXP 	Sound  started
233.9811 	EXP 	Sound  stopped
233.9812 	EXP 	Sound  started
234.7874 	EXP 	Sound  stopped
234.7874 	EXP 	Sound  started
235.5949 	EXP 	Sound  stopped
235.5949 	EXP 	Sound  started
236.4023 	EXP 	Sound  stopped
236.4024 	EXP 	Sound  started
237.2102 	EXP 	Sound  stopped
237.2102 	EXP 	Sound  started
238.0182 	EXP 	Sound  stopped
238.0182 	EXP 	Sound  started
238.8256 	EXP 	Sound  stopped
238.8256 	EXP 	Sound  started
239.6329 	EXP 	Sound  stopped
239.6329 	EXP 	Sound  started
240.4405 	EXP 	Sound  stopped
240.4405 	EXP 	Sound  started
241.2489 	EXP 	Sound  stopped
241.2489 	EXP 	Sound  started
242.0567 	EXP 	Sound  stopped
242.0567 	EXP 	Sound  started
242.8636 	EXP 	Sound  stopped
242.8637 	EXP 	Sound  started
243.6712 	EXP 	Sound  stopped
243.6713 	EXP 	Sound  started
244.4788 	EXP 	Sound  stopped
244.4788 	EXP 	Sound  started
245.2860 	EXP 	Sound  stopped
245.2860 	EXP 	Sound  started
246.0931 	EXP 	Sound  stopped
246.0932 	EXP 	Sound  started
246.9010 	EXP 	Sound  stopped
246.9011 	EXP 	Sound  started
247.7080 	EXP 	Sound  stopped
247.7080 	EXP 	Sound  started
