126.1777 	EXP 	Sound  stopped
126.1777 	EXP 	Sound  started
126.9939 	EXP 	Sound  stopped
126.9940 	EXP 	Sound  started
127.8013 	EXP 	Sound  stopped
127.8014 	EXP 	Sound  started
128.6100 	EXP 	Sound  stopped
128.6100 	EXP 	Sound  started
129.4173 	EXP 	Sound  stopped
129.4174 	EXP 	Sound  started
130.2259 	EXP 	Sound  stopped
130.2259 	EXP 	Sound  started
131.0336 	EXP 	Sound  stopped
131.0337 	EXP 	Sound  started
131.8416 	EXP 	Sound  stopped
131.8416 	EXP 	Sound  started
132.6498 	EXP 	Sound  stopped
132.6498 	EXP 	Sound  started
133.4571 	EXP 	Sound  stopped
133.4571 	EXP 	Sound  started
134.2653 	EXP 	Sound  stopped
134.2653 	EXP 	Sound  started
135.0732 	EXP 	Sound  stopped
135.0733 	EXP 	Sound  started
135.8800 	EXP 	Sound  stopped
135.8801 	EXP 	Sound  started
136.6879 	EXP 	Sound  stopped
136.6880 	EXP 	Sound  started
137.4965 	EXP 	Sound  stopped
137.4965 	EXP 	Sound  started
138.3042 	EXP 	Sound  stopped
138.3043 	EXP 	Sound  started
139.1123 	EXP 	Sound  stopped
139.1124 	EXP 	Sound  started
139.9189 	EXP 	Sound  stopped
139.9189 	EXP 	Sound  started
140.7267 	EXP 	Sound  stopped
140.7267 	EXP 	Sound  started
141.5342 	EXP 	Sound  stopped
141.5342 	EXP 	Sound  started
142.3422 	EXP 	Sound  stopped
142.3422 	EXP 	Sound  started
143.1504 	EXP 	Sound  stopped
143.1505 	EXP 	Sound  started
143.9578 	EXP 	Sound  stopped
143.9579 	EXP 	Sound  started
144.7655 	EXP 	Sound  stopped
144.7655 	EXP 	Sound  started
145.5733 	EXP 	Sound  stopped
145.5734 	EXP 	Sound  started
146.3809 	EXP 	Sound  stopped
146.3809 	EXP 	Sound  started
147.1889 	EXP 	Sound  stopped
147.1890 	EXP 	Sound  started
147.9967 	EXP 	Sound  stopped
147.9968 	EXP 	Sound  started
148.8041 	EXP 	Sound  stopped
148.8041 	EXP 	Sound  started
149.6119 	EXP 	Sound  stopped
149.6120 	EXP 	Sound  started
150.4183 	EXP 	Sound  stopped
150.4183 	EXP 	Sound  started
151.2263 	EXP 	Sound  stopped
151.2264 	EXP 	Sound  started
152.0336 	EXP 	Sound  stopped
152.0336 	EXP 	Sound  started
152.8415 	EXP 	Sound  stopped
152.8415 	EXP 	Sound  started
153.6497 	EXP 	Sound  stopped
153.6498 	EXP 	Sound  started
154.4566 	EXP 	Sound  stopped
154.4566 	EXP 	Sound  started
155.2647 	EXP 	Sound  stopped
155.2648 	EXP 	Sound  started
156.0727 	EXP 	Sound  stopped
156.0728 	EXP 	Sound  started
156.8794 	EXP 	Sound  stopped
156.8794 	EXP 	Sound  started
157.6870 	EXP 	Sound  stopped
157.6870 	EXP 	Sound  started
158.4948 	EXP 	Sound  stopped
158.4948 	EXP 	Sound  started
159.3024 	EXP 	Sound  stopped
159.3025 	EXP 	Sound  started
160.1100 	EXP 	Sound  stopped
160.1100 	EXP 	Sound  started
160.9172 	EXP 	Sound  stopped
160.9173 	EXP 	Sound  started
161.7245 	EXP 	Sound  stopped
161.7245 	EXP 	Sound  started
162.5325 	EXP 	Sound  stopped
